,Row,Column,Plane,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Clustered Nuclei w/o Border Round Selected,coloc AR - Object No in Spots AR,predicted_clc,cluster_id,cluster_size,nucleus_id
1460,4,5,6,58,11,3,1735,1608,"[1730,1599,1740,1614]",-549.04,-400.8,0.113278,105.714,1158,0.166448,827.514,114,735.733,1.26843,13,22,1,191,1,39
1478,4,5,9,43,3,1,1362,502,"[1357,495,1368,508]",-281.09,731.19,0.0521225519644,57.3830687831,1238,0.085230545746,1043.54285714,108,641.159394226,1.71708616584,2,13,1,131,2,29
1486,4,5,4,31,5,3,111,503,"[104,499,115,508]",179.55,730.88,0.0923839,173.363,2373,0.164324,1703.19,73,2241.34,0.837245,1,10,1,200,1,74
1506,4,5,9,52,3,1,1366,480,"[1361,476,1374,487]",-280.46,734.24,0.047256,67.5419,1826,0.145641,1361.74,101,652.597,2.19014,4,7,1,266,46,68
1511,4,5,4,30,5,2,121,417,"[116,412,128,422]",181.4,743.72,0.123048,350.004,3573,0.177761,2494.44,87,2200.93,1.29238,1,4,1,0,69,0
1513,4,5,4,30,5,4,111,490,"[101,487,115,498]",179.31,732.53,0.0660756,124.298,2360,0.146507,1756.85,86,2200.93,0.854706,1,11,1,197,1,80
1527,4,5,6,54,3,2,1364,498,"[1358,493,1372,505]",-280.7,731.55,0.0894533,101.362,1353,0.134701,1031.77,152,515.318,2.1989,3,10,1,266,46,68
1528,4,5,6,54,3,3,1385,514,"[1380,509,1391,522]",-277.68,729.16,0.0710311,73.2138,1199,0.11198,957.514,114,515.318,2.00018,3,12,1,242,14,54
1534,4,5,5,39,3,1,1405,488,"[1402,485,1410,495]",-274.62,732.91,0.0539889,50.8077,1106,0.108067,890.269,65,552.201,1.70423,2,8,1,0,69,0
1536,4,5,5,50,3,1,1328,479,"[1324,475,1336,485]",-286.04,734.46,0.0681063,69.3223,1225,0.127197,948.533,97,588.304,1.73015,3,3,1,266,46,68
1537,4,5,5,50,3,2,1345,478,"[1336,472,1353,486]",-283.72,734.51,0.0820013,110.341,1604,0.129874,1235.26,171,588.304,2.28725,3,4,1,266,46,68
1538,4,5,5,50,3,3,1367,494,"[1361,487,1374,504]",-280.26,732.14,0.0864696,99.4771,1423,0.150386,1050.95,149,588.304,1.9555,3,7,1,0,69,0
1548,4,5,7,61,11,2,1740,1603,"[1735,1597,1746,1609]",-548.19,-400.24,0.0900326,76.2322,1025,0.141752,770.486,117,731.117,1.15812,13,21,1,207,3,27
1555,4,5,7,63,3,2,1403,509,"[1395,504,1409,516]",-275.21,729.99,0.0859009,96.0956,1423,0.163731,1022.58,109,472.402,2.36807,1,2,1,266,46,68
1556,4,5,7,63,3,3,1419,526,"[1414,520,1423,536]",-272.75,727.17,0.0567122,60.8929,1269,0.112268,1012.83,117,472.402,2.27289,1,4,1,214,12,67
1565,4,5,8,59,3,1,1378,503,"[1374,499,1385,511]",-278.72,730.94,0.0592078,57.8687,1128,0.101824,919.514,94,517.514,1.88861,2,4,1,266,46,68
1566,4,5,8,59,3,2,1412,522,"[1408,513,1416,528]",-273.74,728.34,0.0534589,62.5213,1396,0.115461,1107.0,94,517.514,2.25988,2,5,1,242,14,54
1588,4,5,6,62,3,1,1381,508,"[1377,503,1386,514]",-278.35,730.18,0.058274,58.5591,1239,0.133923,946.333,93,534.88,1.87873,1,1,1,95,1,67
1589,4,5,6,62,3,2,1397,507,"[1387,502,1404,516]",-276.11,730.09,0.0841016,109.838,1581,0.138568,1196.17,173,534.88,2.44169,1,2,1,266,46,68
1590,4,5,6,62,3,3,1416,526,"[1410,520,1420,534]",-273.33,727.41,0.0636937,78.7706,1517,0.134231,1157.94,100,534.88,2.31213,1,3,1,214,12,67
1591,4,5,6,5,2,1,1159,608,"[1154,604,1165,617]",-633.96,715.13,0.084892046211,200.350322581,2757,0.121481714758,2159.70967742,100,2122.89955157,1.11171534153,1,7,1,222,1,15
1610,4,5,9,47,3,1,1375,475,"[1366,468,1380,480]",-279.44,735.33,0.0513796,63.2494,1583,0.15095,1167.77,96,635.899,1.93587,2,3,1,218,15,70
1611,4,5,9,47,3,2,1351,473,"[1346,469,1355,479]",-282.91,735.35,0.0621988,55.987,1160,0.157602,844.143,77,635.899,1.41552,2,4,1,218,15,70
1612,4,5,9,47,3,3,1367,477,"[1363,472,1374,482]",-280.23,734.73,0.0377708,55.8171,1639,0.0709032,1421.97,79,635.899,2.32393,2,5,1,218,15,70
1613,4,5,9,47,3,4,1392,494,"[1388,486,1397,502]",-276.7,732.15,0.0645082,81.6208,1510,0.121152,1183.66,122,635.899,1.98975,2,8,1,90,2,66
1615,4,5,9,47,3,6,1348,533,"[1343,528,1354,538]",-283.17,726.44,0.0541087,49.2966,1019,0.0835992,861.769,76,635.899,1.43272,2,17,1,138,1,66
1626,4,5,7,16,3,2,1412,442,"[1408,436,1420,449]",-273.55,739.91,0.0629211,84.0631,1549,0.106055,1251.95,110,750.611,1.7799,1,9,1,225,3,81
1634,4,5,7,5,2,1,1159,610,"[1151,601,1165,619]",-634.0,715.11,0.0749487,218.786,3505,0.129668,2700.36,162,2841.95,1.02716,1,10,1,215,1,16
1649,4,5,8,52,7,1,777,1162,"[771,1156,785,1170]",-367.37,310.6,0.0985798,92.0925,1118,0.140758,842.1,161,763.653,1.22332,4,7,1,233,3,69
1655,4,5,7,49,3,3,1318,521,"[1315,513,1323,528]",-287.52,728.34,0.0450086,54.9686,1491,0.122182,1166.32,89,661.529,1.84617,3,13,1,134,1,48
1657,4,5,8,16,3,1,1415,440,"[1408,434,1420,448]",-273.49,740.03,0.0810029,124.746,1924,0.152345,1415.28,124,818.539,1.88143,1,5,1,261,2,82
1661,4,5,9,32,10,1,1233,967,"[1229,961,1238,973]",-300.18,16.63,0.0577336243791,74.6444444444,1518,0.109540980411,1218.26666667,90,1097.81402457,1.17771415027,4,15,1,0,69,0
1672,4,5,6,17,2,1,655,1305,"[648,1300,660,1314]",-708.69,612.24,0.0789199742268,104.152891156,1492,0.102093201481,1215.575,147,1066.23580158,1.23774486769,5,24,1,0,69,0
