Database Name	ODA
Database Location	http://localhost/ODA/OdaService.asmx
Evaluation Signature	dd183952-9029-4716-8ead-c19b6d1d375f
Plate Name	220602 ar jfx646 pcna mscarlet PACE MvR
Measurement	Measurement 1
Evaluation	Evaluation25

[Data]
Row	Column	Plane	Timepoint	Nuclei - Number of Objects	Clustered Nuclei w/o Border Round - Number of Objects	Clustered Nuclei w/o Border - Number of Objects	Spots AR - Number of Objects	coloc AR - Number of Objects	coloc AR - Relative Spot  Intensity - Mean per Well	coloc AR - Corrected Spot  Intensity - Mean per Well	coloc AR - Uncorrected Spot  Peak Intensity - Mean per Well	coloc AR - Spot Contrast - Mean per Well	coloc AR - Spot Background Intensity - Mean per Well	coloc AR - Spot Area [px²] - Mean per Well	coloc AR - Region Intensity - Mean per Well	coloc AR - Spot To Region Intensity - Mean per Well	Clustered Nuclei w/o Border Round Selected - Number of Objects	coloc PCNA - Number of Objects	coloc PCNA - Relative Spot Intensity - Mean per Well	coloc PCNA - Corrected Spot Intensity - Mean per Well	coloc PCNA - Uncorrected Spot Peak Intensity - Mean per Well	coloc PCNA - Spot Contrast - Mean per Well	coloc PCNA - Spot Background Intensity - Mean per Well	coloc PCNA - Spot Area [px²] - Mean per Well	coloc PCNA - Region Intensity - Mean per Well	coloc PCNA - Spot to Region Intensity - Mean per Well	Number of Analyzed Fields	Height [µm]	Time [s]	Temperature	Target Temperature	CO2	Target CO2	Compound	Concentration	Cell Type	Cell Count	
4	6	1	1	477	283	322	1531	26	0.0320697630015	15.1588100865	528.384615385	0.0771738292359	452.113015503	48.4230769231	442.386229852	1.07924028292	129	17	0.0807933914868	305.029124062	4280.05882353	0.145655719877	3131.71917111	75.3529411765	3587.08549737	0.955134176709	10	-1	899.107	0	37	0	5					
4	6	2	1	484	303	330	855	18	0.0320478988023	15.9129845495	567.833333333	0.0755288610495	489.328392967	49.4444444444	459.085077757	1.10404016798	67	13	0.080606152815	266.682819739	3873.46153846	0.151967258138	2802.33851529	72.1538461538	3065.1482129	1.03039987158	10	-0.5	899.107	0	37	0	5					
4	6	3	1	494	310	330	558	14	0.0362984145321	18.3049811001	609.928571429	0.0933471647038	508.934653836	46.0714285714	511.743769399	1.0712177814	45	11	0.116445850287	555.802639649	5744.09090909	0.200122130407	3566.59179894	75.0909090909	4181.58715729	0.961626563243	10	0	899.107	0	37	0	5					
4	6	4	1	502	308	331	450	11	0.0325192971992	19.1301403737	650.090909091	0.0731261430653	560.200265618	61.5454545455	553.813104047	1.06784072524	31	6	0.13152077003	534.786374122	6372.83333333	0.239394170657	3985.57574074	70.3333333333	4622.67460317	0.973053007059	10	0.50000000000000011	899.107	0	37	0	5					
4	6	5	1	501	310	334	292	6	0.0279419932269	16.099438592	643.333333333	0.0760997935257	552.502062875	57.6666666667	548.800366946	1.04288866625	25	6	0.0959296842343	822.646320584	11553.8333333	0.194262779306	7798.29067901	75	8939.08214286	0.973538658866	10	1	899.107	0	37	0	5					
4	6	6	1	502	307	335	182	4	0.0468265014801	35.9663527032	796	0.0914234090258	654.569302942	76.5	634.276923834	1.11272132848	28	3	0.208406885537	1157.35398295	9557.66666667	0.357253738791	4504.14858907	77.6666666667	5195.15555556	1.1015788685	10	1.4999999999999998	899.107	0	37	0	5					
4	6	7	1	504	304	338	102	1	0.0305106582338	28.2713178295	1008	0.0575275397797	898.333333333	43	893.946045081	1.03653308414	34	1	0.0549228091418	103.678571429	2293	0.124836847499	1784.03571429	77	1758.77777778	1.07331028943	10	2.0000000000000004	899.107	0	37	0	5					
4	6	8	1	499	285	328	90	2	0.0341299419573	22.2567778592	666	0.0829728915136	552.738181818	39	513.986183625	1.07592154482	51	1	0.151081658081	760.470458554	6723	0.222804322337	4273.03571429	81	4521.375	1.11326890002	10	2.5	899.107	0	37	0	5					
4	7	1	1	349	208	249	177	8	0.053564510363	28.8072420491	622.5	0.097609117592	507.573385281	72	461.860878651	1.17133227628	79	7	0.067445432654	225.771418642	2848.14285714	0.118136008603	2154.97688518	74.7142857143	1535.85327234	1.40025346758	10	-1	899.53	0	37	0	5					
4	7	2	1	355	217	254	110	4	0.0312326065729	22.9593699323	835.25	0.0802920868556	711.118421886	51	691.851395067	1.06160632837	47	2	0.0646584536057	92.5857142857	1809	0.129088302278	1402.86142857	60	1672.00714286	0.892823100124	10	-0.5	899.53	0	37	0	5					
4	7	3	1	365	218	258	95	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	33	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10	0	899.53	0	37	0	5					
4	7	4	1	371	219	261	56	1	0.0423736480522	103.82365948	2778	0.0842307636711	2346.37037037	67	2626.98255603	0.932702816861	25	1	0.052038827042	171.265186426	3849	0.104631678347	3119.83870968	77	3562.72222222	0.923761014983	10	0.50000000000000011	899.53	0	37	0	5					
4	7	5	1	365	209	259	55	1	0.0273466371027	14.6711798839	588	0.0596330275229	521.818181818	47	534.726828618	1.00329613737	26	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10	1	899.53	0	37	0	5					
4	7	6	1	369	204	255	49	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10	1.4999999999999998	899.53	0	37	0	5					
4	7	7	1	355	202	247	37	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	29	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10	2.0000000000000004	899.53	0	37	0	5					
