,Row,Column,Plane,Timepoint,Field,Object No,X,Y,Bounding Box,Position X [µm],Position Y [µm],coloc AR - Relative Spot  Intensity,coloc AR - Corrected Spot  Intensity,coloc AR - Uncorrected Spot  Peak Intensity,coloc AR - Spot Contrast,coloc AR - Spot Background Intensity,coloc AR - Spot Area [px²],coloc AR - Region Intensity,coloc AR - Spot To Region Intensity,coloc AR - Object No in Clustered Nuclei w/o Border Round Selected,coloc AR - Object No in Spots AR,predicted_clc,cluster_id,cluster_size,nucleus_id
5385,4,8,6,61,5,1,927,135,"[920,128,936,142]",-345.39,-829.12,0.139169,915.623,8495,0.199979,5663.59,173,4435.69,1.48324,1,2,1,0,47,0
5390,4,8,4,18,3,1,1594,1445,"[1591,1441,1597,1448]",721.83,-376.95,0.027405993899,24.4664031621,958,0.0491313654239,868.272727273,46,736.147391139,1.21271791652,2,2,1,0,47,0
5391,4,8,2,52,4,1,1408,1282,"[1404,1278,1413,1289]",694.46,-998.84,0.149841,190.116,1656,0.211117,1078.67,92,809.251,1.56785,12,20,1,102,19,24
5406,4,8,7,49,4,1,1362,1244,"[1357,1239,1365,1249]",687.53,-993.13,0.0325365081447,43.7836134454,1484,0.0653676046407,1301.89285714,68,1032.32266563,1.30354250215,8,1,1,112,9,23
5411,4,8,3,51,1,2,1987,914,"[1981,909,1991,918]",-188.78,-298.4,0.0503121,41.7463,971,0.104036,788.0,67,641.494,1.29346,2,2,1,56,5,20
5412,4,8,1,58,5,1,1541,864,"[1538,861,1546,873]",-254.53,-937.27,0.0389607939734,25.7179118774,783,0.104855975088,634.379310345,72,512.580860059,1.28779139772,6,43,1,0,47,0
5428,4,8,3,3,3,2,1308,1394,"[1303,1390,1312,1405]",679.52,-370.0,0.046803,29.8245,744,0.101072,607.41,115,553.869,1.15052,3,39,1,0,47,0
5431,4,8,4,51,4,1,1409,1286,"[1403,1279,1416,1293]",694.58,-999.3,0.0954198982496,144.976351351,1821,0.139772327192,1374.375,148,1122.86098498,1.35310726054,9,9,1,102,19,24
5433,4,8,2,9,4,1,283,562,"[277,558,287,567]",528.01,-892.27,0.0275659587076,34.6915254237,1357,0.0516119032858,1223.8,59,1017.72716811,1.23657062999,3,12,1,0,47,0
5448,4,8,6,51,4,1,1359,1244,"[1354,1238,1364,1250]",687.07,-993.07,0.0937830254648,146.730507426,1850,0.132245077507,1417.84375,101,1140.20797842,1.37218322186,10,6,1,112,9,23
5453,4,8,5,43,4,1,136,533,"[128,529,141,538]",506.26,-888.08,0.0323292555891,24.4314550042,880,0.0923020951484,731.275862069,82,451.828206153,1.67255453905,3,3,1,120,3,36
5454,4,8,7,16,5,1,949,118,"[940,112,958,125]",-342.17,-826.8,0.136136756903,1121.62385681,10706,0.201347071971,7117.3255814,178,4237.65836077,1.94422219461,1,3,1,0,47,0
